亻待	亻待 偫
人怱	人怱 偬
亻怱	亻怱 偬
人面	人面 偭
亻面	亻面 偭
人咠	人咠 偮
亻咠	亻咠 偮
人哀	人哀 偯
亻哀	亻哀 偯
人契	人契 偰
亻契	亻契 偰
人盾	人盾 偱
亻盾	亻盾 偱
人思	人思 偲
亻思	亻思 偲
人耑	人耑 偳
亻耑	亻耑 偳
人則	人則 側
亻則	亻則 側
人貞	人貞 偵
亻貞	亻貞 偵
人禺	人禺 偶
亻禺	亻禺 偶
人俞	人俞 偷
亻俞	亻俞 偷
人兪	人兪 偸
亻兪	亻兪 偸
攸田	攸田 偹
人丨备	人丨备 偹
攸田	攸田 偹
亻丨备	亻丨备 偹
人昝	人昝 偺
亻昝	亻昝 偺
人疌	人疌 偼
亻疌	亻疌 偼
人為	人為 偽
亻為	亻為 偽
人鬼	人鬼 傀
亻鬼	亻鬼 傀
人叟	人叟 傁
亻叟	亻叟 傁
人虒	人虒 傂
亻虒	亻虒 傂
人素	人素 傃
亻素	亻素 傃
人眘	人眘 傄
亻眘	亻眘 傄
人甫寸	人甫寸 傅
亻甫寸	亻甫寸 傅
人甫寸	人甫寸 傅
亻尃	亻尃 傅
人原	人原 傆
亻原	亻原 傆
人茸	人茸 傇
亻茸	亻茸 傇
人栗	人栗 傈
亻栗	亻栗 傈
人辱	人辱 傉
亻辱	亻辱 傉
人員	人員 傊
亻員	亻員 傊
人冓	人冓 傋
亻冓	亻冓 傋
人馬	人馬 傌
亻馬	亻馬 傌
人旁	人旁 傍
人真	人真 傎
亻真	亻真 傎
人唐	人唐 傏
亻唐	亻唐 傏
人高	人高 傐
亻高	亻高 傐
人桀	人桀 傑
亻桀	亻桀 傑
人奚	人奚 傒
亻奚	亻奚 傒
人扇	人扇 傓
亻扇	亻扇 傓
人丶丶兼	人丶丶兼 傔
亻丶丶兼	亻丶丶兼 傔
人隺	人隺 傕
亻隺	亻隺 傕
人倉	人倉 傖
亻倉	亻倉 傖
人畜	人畜 傗
亻畜	亻畜 傗
人人人人十	人人人人十 傘
人草厂用	人草厂用 備
亻艹厂用	亻艹厂用 備
人草厂用	人草厂用 備
亻井厂用	亻井厂用 備
人交攴	人交攴 傚
人交攵	人交攵 傚
人交攴	人交攴 傚
亻交攵	亻交攵 傚
人容	人容 傛
亻容	亻容 傛
人月缶	人月缶 傜
亻月缶	亻月缶 傜
人月缶	人月缶 傜
人䍃	人䍃 傜
人月缶	人月缶 傜
亻月缶	亻月缶 傜
人月缶	人月缶 傜
亻䍃	亻䍃 傜
人日羽	人日羽 傝
亻日羽	亻日羽 傝
人差	人差 傞
亻差	亻差 傞
人翁	人翁 傟
亻翁	亻翁 傟
人討	人討 傠
亻討	亻討 傠
人竝	人竝 傡
亻竝	亻竝 傡
人家	人家 傢
亻家	亻家 傢
人泰	人泰 傣
亻泰	亻泰 傣
人參	人參 傪
亻參	亻參 傪
人累	人累 傫
亻累	亻累 傫
人崔	人崔 催
亻崔	亻崔 催
人庸	人庸 傭
亻庸	亻庸 傭
人曹	人曹 傮
亻曹	亻曹 傮
人悤	人悤 傯
亻悤	亻悤 傯
人崩	人崩 傰
亻崩	亻崩 傰
人從	人從 傱
亻從	亻從 傱
人敖	人敖 傲
人專	人專 傳
亻專	亻專 傳
人區	人區 傴
亻區	亻區 傴
人責	人責 債
亻責	亻責 債
人戚	人戚 傶
亻戚	亻戚 傶
人丿一昜	人丿一昜 傷
亻丿一昜	亻丿一昜 傷
人丿一昜	人丿一昜 傷
人丿一日一勿	人丿一日一勿 傷
人爽	人爽 傸
亻爽	亻爽 傸
人竟	人竟 傹
亻竟	亻竟 傹
人祭	人祭 傺
亻祭	亻祭 傺
人囟儿夕	人囟儿夕 傻
亻囟儿夂	亻囟儿夂 傻
人革大	人革大 傼
亻革大	亻革大 傼
人章	人章 傽
亻章	亻章 傽
人頃	人頃 傾
亻頃	亻頃 傾
人焉	人焉 傿
亻焉	亻焉 傿
人帶	人帶 僀
亻帶	亻帶 僀
人悉	人悉 僁
亻悉	亻悉 僁
人婁	人婁 僂
亻婁	亻婁 僂
人草勹用	人草勹用 僃
人艸勹用	人艸勹用 僃
人草勹用	人草勹用 僃
亻艹勹用	亻艹勹用 僃
人票	人票 僄
亻票	亻票 僄
人堇	人堇 僅
亻堇	亻堇 僅
人連	人連 僆
亻連	亻連 僆
人翏	人翏 僇
亻翏	亻翏 僇
人曼	人曼 僈
亻曼	亻曼 僈
人一口口人人	人一口口人人 僉
人西大己	人西大己 僊
亻覀大己	亻覀大己 僊
人貪	人貪 僋
亻貪	亻貪 僋
人車攴	人車攴 僌
亻車攵	亻車攵 僌
人動	人動 働
亻動	亻動 働
人巽	人巽 僎
亻巽	亻巽 僎
人象	人象 像
亻象	亻象 像
人善	人善 僐
亻善	亻善 僐
人喬	人喬 僑
亻喬	亻喬 僑
人窘	人窘 僒
亻窘	亻窘 僒
人貴	人貴 僓
亻貴	亻貴 僓
人尊	人尊 僔
亻尊	亻尊 僔
人菐	人菐 僕
亻菐	亻菐 僕
人喜	人喜 僖
亻喜	亻喜 僖
人勞	人勞 僗
亻勞	亻勞 僗
人敞	人敞 僘
亻敞	亻敞 僘
人黃	人黃 僙
亻黃	亻黃 僙
人黃	人黃 僙
人黄	人黄 僙
人黃	人黃 僙
亻黃	亻黃 僙
人黃	人黃 僙
亻黄	亻黄 僙
人尞	人尞 僚
亻尞	亻尞 僚
人欺	人欺 僛
亻欺	亻欺 僛
人登	人登 僜
亻登	亻登 僜
人孱	人孱 僝
亻孱	亻孱 僝
人爲	人爲 僞
亻爲	亻爲 僞
人幾	人幾 僟
亻幾	亻幾 僟
人番	人番 僠
亻番	亻番 僠
人惠	人惠 僡
亻惠	亻惠 僡
人舜	人舜 僢
亻舜	亻舜 僢
人替	人替 僣
亻替	亻替 僣
人單	人單 僤
亻單	亻單 僤
人堯	人堯 僥
亻堯	亻堯 僥
人就	人就 僦
亻就	亻就 僦
人曽	人曽 僧
亻曽	亻曽 僧
人曽	人曽 僧
人曾	人曾 僧
人曽	人曽 僧
亻曽	亻曽 僧
人曽	人曽 僧
亻曾	亻曾 僧
人賁	人賁 僨
亻賁	亻賁 僨
